,Squirrel
CNBA01,0
CNBA02,0
CNBA03,0
CNBA04,0
CNBA05,0
CNBA06,0
CNBA07,0
CNBA08,0
CNBE01,0
CNBE02,7
CNBE03,10
CNBE04,39
CNBE05,0
CNBE06,0
CNBE07,0
CNBE08,0
CNCA01,45
CNCA02,4
CNCA03,11
CNCA04,0
CNCA05,19
CNDE01,0
CNDE02,21
CNEA01,0
CNHE01,3
CNHE02,0
CNHE03,36
CNIR01,0
CNIR02,7
CNIR03,0
CNIR04,0
CNMA01,38
CNMA02,23
CNMA03,1
CNMA04,4
CNMI01,0
CNMI02,0
CNMI03,0
CNMI04,0
CNMI05,0
CNMI06,0
CNNO01,0
CNNO02,0
CNOA01,4
CNOA02,6
CNOA03,0
CNOA04,2
CNOA05,0
CNOA06,3
CNOA07,0
CNOA08,5
CNOA09,9
CNOA10,0
CNOA11,0
CNOA12,0
CNOA13,1
CNOA14,0
CNOA15,0
CNOA16,1
CNOT01,0
CNOT02,1
CNOT03,12
CNOT04,0
CNOT05,1
CNOT06,0
CNOT07,0
CNOU01,0
CNOU02,0
CNOU03,0
CNOU04,0
CNOU05,0
CNOU06,0
CNOU07,0
CNOU08,0
CNOU09,0
CNOU10,0
CNOU11,0
CNOU12,0
CNOU13,0
CNOU14,0
CNOU15,0
CNOU16,0
CNOU17,0
CNOU18,0
CNOU19,0
CNOU20,0
CNOU21,0
CNOU22,0
CNOU24,0
CNOU25,0
CNOU26,0
CNOU27,0
CNOU28,0
CNOU29,0
CNRA01,58
CNRA02,661
CNRO01,0
CNRO02,0
CNRO03,0
CNRO04,2
CNRO05,0
CNRO06,1
CNSA01,0
CNSA02,0
CNSA03,0
CNSA04,0
CNSA05,0
CNSA06,0
CNSA07,0
CNSA08,0
CNSA09,0
CNSA10,0
CNSA11,0
CNSA12,0
CNSO01,2
CNSO02,0
CNSTC09,0
CNSTC10,1
CNSTC12,0
CNSTD05,47
CNSTD06,1
CNSTD07,0
CNSTD08,0
CNSTD09,1
CNSTD10,0
CNSTD11,0
CNSTE03,2
CNSTE04,4
CNSTE05,6
CNSTE06,0
CNSTE07,1
CNSTE08,0
CNSTE10,6
CNSTF02,22
CNSTF03,0
CNSTF04,0
CNSTF05,8
CNSTF07,0
CNSTF09,4
CNSTG02,1
CNSTG03,0
CNSTG04,0
CNSTG06,0
CNSTG07,1
CNSTG09,0
CNSTH04,0
CNYO01,0
CNYO02,0
CNOU23,0
ST1,0
ST2,0
ST3,0
ST4,0
ST5,0
ST6,0
